x,rho,u,p
0,1,0,1
0.01,1,4.89019e-09,1
0.02,1,1.50674e-08,1
0.03,1,3.64177e-08,1
0.04,1,9.397e-08,1
0.05,1,2.34007e-07,1
0.06,1,5.67891e-07,0.999999
0.07,0.999999,1.34324e-06,0.999998
0.08,0.999997,3.09551e-06,0.999996
0.09,0.999994,6.94706e-06,0.999992
0.1,0.999987,1.51753e-05,0.999982
0.11,0.999973,3.2248e-05,0.999962
0.12,0.999944,6.66266e-05,0.999921
0.13,0.999887,0.000133755,0.999842
0.14,0.99978,0.000260744,0.999692
0.15,0.999583,0.000493266,0.999416
0.16,0.999235,0.000904941,0.99893
0.17,0.998639,0.00160895,0.998098
0.18,0.997657,0.00277054,0.996726
0.19,0.996095,0.00461769,0.994547
0.2,0.993706,0.00744566,0.99122
0.21,0.990192,0.0116102,0.986335
0.22,0.985227,0.0175055,0.979455
0.23,0.978495,0.0255254,0.970159
0.24,0.969732,0.0360136,0.958112
0.25,0.958773,0.0492138,0.943127
0.26,0.945582,0.0652328,0.925207
0.27,0.930256,0.0840299,0.904546
0.28,0.913012,0.105433,0.881497
0.29,0.894138,0.129175,0.856511
0.3,0.873961,0.154937,0.83008
0.31,0.852804,0.182391,0.80268
0.32,0.830968,0.211219,0.77474
0.33,0.808712,0.241133,0.746625
0.34,0.786258,0.271882,0.718636
0.35,0.763789,0.303245,0.691015
0.36,0.741453,0.335033,0.663951
0.37,0.719372,0.367078,0.637591
0.38,0.697645,0.399234,0.612046
0.39,0.676352,0.431368,0.587401
0.4,0.655558,0.463356,0.563721
0.41,0.635318,0.495081,0.541052
0.42,0.615676,0.526431,0.519429
0.43,0.596669,0.557294,0.498877
0.44,0.578329,0.587557,0.479413
0.45,0.56068,0.617108,0.461049
0.46,0.543741,0.645829,0.443792
0.47,0.52753,0.673598,0.427648
0.48,0.512057,0.70029,0.412618
0.49,0.497327,0.725777,0.398705
0.5,0.483338,0.749928,0.385905
0.51,0.470076,0.772485,0.374229
0.52,0.457474,0.793496,0.363592
0.53,0.44549,0.813038,0.353934
0.54,0.43412,0.830875,0.345276
0.55,0.423326,0.846929,0.337589
0.56,0.413055,0.861149,0.330828
0.57,0.403246,0.873519,0.324939
0.58,0.393834,0.884047,0.319853
0.59,0.384749,0.892769,0.315494
0.6,0.375926,0.899742,0.311775
0.61,0.3673,0.905038,0.308604
0.62,0.358817,0.908739,0.305879
0.63,0.350432,0.910923,0.303499
0.64,0.342111,0.911661,0.301356
0.65,0.333833,0.911002,0.299344
0.66,0.325587,0.908966,0.297357
0.67,0.317373,0.905538,0.295291
0.68,0.309195,0.900656,0.293044
0.69,0.301064,0.894208,0.290515
0.7,0.292986,0.88603,0.287604
0.71,0.284966,0.875899,0.284211
0.72,0.276997,0.863533,0.280236
0.73,0.269066,0.848592,0.275576
0.74,0.261144,0.830675,0.270131
0.75,0.253189,0.809325,0.263801
0.76,0.245151,0.784037,0.256496
0.77,0.23697,0.75427,0.248138
0.78,0.228583,0.719466,0.238674
0.79,0.219934,0.679095,0.228088
0.8,0.210983,0.632711,0.216419
0.81,0.20172,0.580055,0.203781
0.82,0.192185,0.521202,0.190386
0.83,0.18248,0.456756,0.176555
0.84,0.17279,0.388094,0.162733
0.85,0.163383,0.317567,0.149464
0.86,0.154601,0.248526,0.137334
0.87,0.146805,0.184927,0.126874
0.88,0.140295,0.130437,0.118427
0.89,0.13522,0.087312,0.112065
0.9,0.131532,0.055764,0.107583
0.91,0.129019,0.0342506,0.104608
0.92,0.127398,0.0203965,0.102725
0.93,0.126396,0.0118568,0.101578
0.94,0.125797,0.00676102,0.100898
0.95,0.125448,0.00379274,0.100503
0.96,0.125249,0.00209429,0.100279
0.97,0.125137,0.00113256,0.100154
0.98,0.125078,0.000583726,0.100087
0.99,0.125051,0.00024923,0.100057
1,0.125051,0,0.100057
